[INFO][2015-08-20 17:21:55,283][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:22:46,523][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:33:49,509][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:34:13,213][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:35:08,217][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:35:16,432][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 17:46:23,141][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:46:23,149][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 17:46:56,969][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:46:56,978][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 17:47:00,519][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:47:00,529][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 17:47:35,248][org.apache.shiro.config.IniSecurityManagerFactory]Realms have been explicitly set on the SecurityManager instance - auto-setting of realms will not occur.
[INFO][2015-08-20 17:47:35,258][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 18:47:35,315][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Validating all active sessions...
[INFO][2015-08-20 18:47:35,333][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Finished session validation.  [1] sessions were stopped.
[INFO][2015-08-20 19:01:49,371][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 19:03:09,136][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
[INFO][2015-08-20 19:09:04,862][org.apache.shiro.session.mgt.AbstractValidatingSessionManager]Enabling session validation scheduler...
